scenario,policy,method,recall@10_mean,kmeans_fits_mean,recall@10_std,kmeans_fits_std,recall@10_ci95,kmeans_fits_ci95
append,drift,hmrc,0.5944666666666667,150.0,0.02665971173672097,29.213837061606075,0.009540055323261038,10.454037332615762
append,periodic,hmrc,0.5944666666666667,150.0,0.02665971173672097,29.213837061606075,0.009540055323261038,10.454037332615762
append,static,hmrc,0.5966,150.0,0.023843744209562322,29.213837061606075,0.008532374285187508,10.454037332615762
append,static,mean,0.4766,150.0,0.030382163551481402,29.213837061606075,0.010872117597665655,10.454037332615762
deletes,drift,hmrc,0.7826000000000001,270.53333333333336,0.017183048124740346,71.33408989362927,0.008695822138628791,36.100030310852155
deletes,periodic,hmrc,0.7841333333333333,638.3333333333334,0.015518959218906876,154.92010229546742,0.007853676959092323,78.40038888792436
deletes,static,hmrc,0.7840666666666667,200.0,0.015068731421943498,0.0,0.007625830257166184,0.0
deletes,static,mean,0.6301333333333333,200.0,0.014347058766105899,0.0,0.0072606135033098035,0.0
tenants,drift,hmrc,0.9887333333333334,289.26666666666665,0.008387632619063688,82.67359801970524,0.004244727762504662,41.83861319137834
tenants,periodic,hmrc,0.9865999999999999,116.26666666666667,0.006997958886091617,51.310631962400855,0.003541455821174866,25.966762481637517
tenants,static,hmrc,0.9391999999999999,42.0,0.032776733908586514,1.4638501094227998,0.016587315957280926,0.7408103670980853
tenants,static,mean,0.9442666666666667,42.0,0.02164145052791934,1.4638501094227998,0.010952085057700699,0.7408103670980853
